modelo,fold,mae_log
baseline_mediana,0,0.6193540700296426
baseline_mediana,1,0.6199372453356509
baseline_mediana,2,0.6146754461360443
baseline_mediana,3,0.6165175554777341
baseline_mediana,4,0.6210611948076626
gradient_boosting,0,0.2092619169066863
gradient_boosting,1,0.21607728781822538
gradient_boosting,2,0.20967925875883853
gradient_boosting,3,0.20246173367692244
gradient_boosting,4,0.20051726360858224
arvore_decisao,0,0.28870431937898594
arvore_decisao,1,0.28338191516587774
arvore_decisao,2,0.2884803749041143
arvore_decisao,3,0.28442230103729843
arvore_decisao,4,0.27782012531190564
gradient_boosting_ajustado,0,0.19922969844727562
gradient_boosting_ajustado,1,0.20209908167886725
gradient_boosting_ajustado,2,0.20190328005775257
gradient_boosting_ajustado,3,0.1965977699631479
gradient_boosting_ajustado,4,0.19437555050302133
knn,0,0.3256478767715133
knn,1,0.3289371938066399
knn,2,0.31920209755511714
knn,3,0.3159854431234813
knn,4,0.3113294677914316
mlp,0,0.3105242962585796
mlp,1,0.3267888557053854
mlp,2,0.3236866447981113
mlp,3,0.3153059330023024
mlp,4,0.30480571644896665
ols,0,0.2573949281241766
ols,1,0.25809725210406
ols,2,0.2535509985588021
ols,3,0.25353506370323137
ols,4,0.25305011518501774
ridge,0,0.2574647885005468
ridge,1,0.2580890038850129
ridge,2,0.2535698055957023
ridge,3,0.25350615223077205
ridge,4,0.25296309539756806
