feature,importancia,desvio,significativa,spearman_abs,posto_importancia,posto_correlacao,salto_de_posto
area_util,0.19263115225635868,0.001871025213836526,True,0.6962777538514862,1,1,0
garagens,0.060300976188529566,0.001118461712623178,True,0.6244999698869644,2,4,2
bairro_gramame,0.042554771085243887,0.0014417918778685018,True,0.2906221853784275,3,8,5
bairro_cabo_branco,0.03701778592442435,0.0013071895554544143,True,0.2377658933535719,4,9,5
bairro_jardim_oceania,0.02349957343592781,0.0013723957095288484,True,0.1823890271798082,5,21,16
condominio,0.016993084630898093,0.0007831193726493406,True,0.3190061313437531,6,7,1
bairro_tambau,0.015266805102562264,0.0007061802157021655,True,0.1364370461288336,7,38,31
quartos,0.010609421160821864,0.000806464817575179,True,0.5026937998366485,8,6,-2
banheiros,0.009617588445851755,0.0007018566754004073,True,0.5327352893623026,9,5,-4
suites,0.009244960387900607,0.001131552108666803,True,0.6374062553101121,10,2,-8
origem_anuncio_chaves_na_mao,0.008942796348817828,0.000940127845037774,True,0.1237570257085462,11,44,33
bairro_mangabeira,0.008504188679217806,0.0006511922079647912,True,0.1486209356317754,12,32,20
bairro_mucumagro,0.007917246169439873,0.00041533860657237736,True,0.1252198744851471,13,43,30
bairro_altiplano_cabo_branco,0.006770564639070342,0.0003723066296057258,True,0.1379814769447092,14,37,23
bairro_bessa,0.0059303386722365905,0.0006322748319089201,True,0.0117694328382911,15,113,98
bairro_manaira,0.005651397188406615,0.0003809468299223607,True,0.1007567656519311,16,57,41
com_varanda_gourmet,0.0046511448679382224,0.00072940126347008,True,0.2135283931575358,17,13,-4
area_total,0.004279795130878261,0.0011718520094696155,True,0.6296342052162923,18,3,-15
bairro_cuia,0.004080393118015374,0.000341847122147094,True,0.1105388777603477,19,50,31
bairro_paratibe,0.003846624292797851,0.0001112079966010782,True,0.1006616253269711,20,58,38
bairro_joao,0.0029974281307131867,0.0006768630399169012,True,0.0704197089529632,21,75,54
bairro_planalto,0.002967002418079334,0.00042652424184181877,True,0.1031889764834112,22,54,32
