name,city,security_index,mobility_index,infrastructure_index,avg_price_m2_sale,avg_price_m2_rent,appreciation_rate_yoy,population,profile_tags
Aeroclube,João Pessoa,,,,9340,,,,
Agua Fria,João Pessoa,,,,6023,,,,
Altiplano Cabo Branco,João Pessoa,,,,10909,,,,
Alto Do Ceu,João Pessoa,,,,3862,,,,
Alto Do Mateus,João Pessoa,,,,3281,,,,
Anatolia,João Pessoa,,,,5733,,,,
Bancários,João Pessoa,,,,6641,,,,
Barra De Gramame,João Pessoa,,,,1100,,,,
Bessa,João Pessoa,,,,9333,,,,
Brisamar,João Pessoa,,,,9260,,,,
Cabo Branco,João Pessoa,,,,14676,,,,
Castelo Branco,João Pessoa,,,,4678,,,,
Centro,João Pessoa,,,,4839,,,,
Cidade Dos Colibris,João Pessoa,,,,5020,,,,
Cidade Verde,João Pessoa,,,,4419,,,,
Colinas Do Sul,João Pessoa,,,,2628,,,,
Conjunto Esplanada,João Pessoa,,,,2289,,,,
Conjunto Valentina Figueredo I,João Pessoa,,,,3958,,,,
Costa E Silva,João Pessoa,,,,4583,,,,
Cristo Redentor,João Pessoa,,,,4574,,,,
Cruz Das Armas,João Pessoa,,,,4166,,,,
Cuia,João Pessoa,,,,3146,,,,
Distrito Industrial,João Pessoa,,,,1511,,,,
Ernesto Geisel,João Pessoa,,,,4016,,,,
Ernâni Sátiro,João Pessoa,,,,1809,,,,
Estados,João Pessoa,,,,7472,,,,
Expedicionarios,João Pessoa,,,,6456,,,,
Funcionarios,João Pessoa,,,,3273,,,,
Gramame,João Pessoa,,,,2600,,,,
Industrias,João Pessoa,,,,2663,,,,
Ipes,João Pessoa,,,,4687,,,,
Jaguaribe,João Pessoa,,,,4800,,,,
Jardim 13 De Maio,João Pessoa,,,,4473,,,,
Jardim Cidade Universitária,João Pessoa,,,,6190,,,,
Jardim Das Acacias,João Pessoa,,,,3125,,,,
Jardim Luna,João Pessoa,,,,10132,,,,
Jardim Oceania,João Pessoa,,,,11294,,,,
Jardim Planalto,João Pessoa,,,,2500,,,,
Jardim São Paulo,João Pessoa,,,,5405,,,,
Jardim Veneza,João Pessoa,,,,3158,,,,
Joao Agripino,João Pessoa,,,,8553,,,,
Joao Paulo Ii,João Pessoa,,,,3784,,,,
Jose Americo De Almeida,João Pessoa,,,,4192,,,,
Loteamento Quintas De Gramame,João Pessoa,,,,3320,,,,
Manaíra,João Pessoa,,,,9038,,,,
Mandacaru,João Pessoa,,,,4255,,,,
Mangabeira,João Pessoa,,,,4271,,,,
Miramar,João Pessoa,,,,9504,,,,
Mumbaba,João Pessoa,,,,1857,,,,
Muçumagro,João Pessoa,,,,2476,,,,
Novo Milenio,João Pessoa,,,,3100,,,,
Oitizeiro,João Pessoa,,,,1976,,,,
Paratibe,João Pessoa,,,,2784,,,,
Pedro Gondim,João Pessoa,,,,7467,,,,
Penha,João Pessoa,,,,20290,,,,
Planalto Boa Esperança,João Pessoa,,,,2999,,,,
Ponta Do Seixas,João Pessoa,,,,16212,,,,
Portal Do Sol,João Pessoa,,,,6519,,,,
Praia De Camboinha,João Pessoa,,,,13177,,,,
Praia De Carapibus,João Pessoa,,,,9333,,,,
Rangel,João Pessoa,,,,3067,,,,
Sao Jose,João Pessoa,,,,135000,,,,
Tambauzinho,João Pessoa,,,,8086,,,,
Tambaú,João Pessoa,,,,11130,,,,
Tambia,João Pessoa,,,,5504,,,,
Torre,João Pessoa,,,,5769,,,,
Treze de Maio,João Pessoa,,,,6634,,,,
Valentina de Figueiredo,João Pessoa,,,,3448,,,,
Varjao,João Pessoa,,,,3677,,,,
