id,title,subtype,transaction,price_sale,price_rent,area_m2,bedrooms,bathrooms,parking_spots,iptu_year,condo_fee,pets_allowed,accepts_financing,year_built,floor,has_elevator,has_balcony,furnished,neighborhood,condominium,builder,built_year
prop-33589723,"Apartamento para Venda em João Pessoa, Jardim Oceania, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga",Apartment,sale,625000,,48.0,2,2,1,,,false,,,,false,false,true,Jardim Oceania,,,
prop-35348946,"Cobertura duplex com 3 quartos, 120m², R$580.000,00 - Jardim Cidade Universitária, João Pessoa/PB",Apartment,sale,580000,,120.0,3,3,1,,,false,,,,true,true,false,Jardim Cidade Universitária,,,
prop-39893477,"Apartamento Alto Padrão em Altiplano Cabo Branco, João Pessoa/PB",Apartment,sale,1545000,,138.0,3,1,2,,,false,,,,false,false,true,Altiplano Cabo Branco,,,
prop-30647265,Condomínio Residencial Reis Magos - APARTAMENTO NO CONDOMINIO REIS MAGOS EM JARDIM OCEANIA / APARTAMENTO DE CONDOMINIO VISTA MAR EM JOAO PESSOA / APARTAMENTO NA PRAIA EM JOAO PESSOA  / APARTAMENTO DE,Apartment,sale,650000,,88.0,3,2,1,,,false,,,,false,false,false,Jardim Oceania,,,
prop-42669146,"Sofisticação, praticidade e excelente localização em um dos bairros mais elegantes de João Pessoa",Apartment,sale,320000,,28.0,1,1,1,,,false,,,,true,false,false,Miramar,,,
prop-30733794,"Apartamento para Venda em João Pessoa, Jardim Oceania, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga",Apartment,sale,660000,,70.0,3,2,1,,,false,,,,false,false,false,Jardim Oceania,,,
prop-29875145,"Apartamento com 3 dormitórios à venda, 68 m² por R$ 790.000 - Manaíra - João Pessoa/PB",Apartment,sale,790000,,68.0,3,2,1,,,false,,,,false,false,false,Manaíra,,,
prop-43445803,"Ótima oportunidade — Apartamento no Gramame, Joao Pessoa - PB, Apto 303, 2 quartos, 1 vaga, 42,82m² | Venda Direta Online",Apartment,sale,67339,,42.0,2,1,1,,,false,,,,false,false,false,Gramame,,,
prop-30647226,Edifício Oceania Residencial - APARTAMENTO ALTO PADRÃO/ APARTAMENTO NO EDIFÍCIO OCEANIA RESIDENCIAL/ APARTAMENTO EM JARDIM OCEANIA/ APARTAMENTO BEIRA MAR/ APARTAMENTO EM JOAO PESSOA,Apartment,sale,1250000,,220.0,3,2,2,,,false,,,,false,false,false,Aeroclube,,,
prop-35375415,"Apartamento com 2 quartos à venda no Treze de Maio, João Pessoa",Apartment,sale,286000,,47.0,2,2,1,,,true,,,,true,true,false,Treze de Maio,,,
prop-38814324,"Apartamento com 2 dormitórios à venda por R$ 120.000,00 - Muçumagro - João Pessoa/PB",Apartment,sale,120000,,46.0,2,1,1,,,false,,,,false,false,false,Muçumagro,,,
prop-38814379,"Apartamento com 2 dormitórios à venda, 60 m² por R$ 897.750 - Cabo Branco - João Pessoa/PB",Apartment,sale,897750,,60.0,2,1,1,,,false,,,,true,true,false,Cabo Branco,,,
prop-33420450,"Apartamento com 1 quarto à venda na Rua das Mangabeiras, 87, Muçumagro, João Pessoa",Apartment,sale,130000,,48.0,1,1,1,,,false,,,,false,false,false,Muçumagro,,,
prop-37433563,"Apartamento para Venda em João Pessoa, Manaíra, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga",Apartment,sale,540000,,76.0,3,2,1,,,false,,,,true,false,false,Manaíra,,,
prop-43634148,"Apartamento com 3 quartos à venda na Rua Margarida Fonseca Arruda, 50, Manaíra, João Pessoa",Apartment,sale,700000,,86.0,3,1,2,,,false,,,,false,true,false,Manaíra,,,
prop-35730761,"Apartamento com 4 dormitórios à venda, 192 m² por R$ 1.490.000 - Cabo Branco - João Pessoa/PB",Apartment,sale,1490000,,192.0,4,4,1,,,false,,,,false,true,false,Cabo Branco,,,
prop-38880456,LANÇAMENTO – ÚLTIMA UNIDADE Apartamento para venda | Jardim Oceania,Apartment,sale,760000,,65.0,2,2,0,,,false,,,,true,false,false,Jardim Oceania,,,
prop-44282838,"Vendo apartamentos de 19,2 m2 à 69,4 m2 , todos com varanda ou área externa privativa.",Apartment,sale,578000,,24.0,1,1,1,,,false,,,,false,true,false,Tambaú,,,
prop-26383741,"Apartamento com 1 dormitório à venda, 32 m² por R$ 310.275,00 - Manaíra - João Pessoa/PB",Apartment,sale,310275,,32.0,1,2,1,,,false,,,,true,false,false,Manaíra,,,
prop-44837684,"Oportunidade para você — Apartamento no Mucumagro, Joao Pessoa - PB, Apto 304, 2 quartos, 1 vaga, 48,15m² | Venda Direta Online",Apartment,sale,71080,,48.0,2,1,1,,,false,,,,false,false,false,Muçumagro,,,
prop-16176281,Apartamento com 2 dormitórios à venda por R$ 225.000 - Cristo Redentor - João Pessoa/PB,Apartment,sale,225000,,51.0,2,1,1,,,false,,,,false,true,false,Cristo Redentor,,,
prop-44909387,Cobertura Duplex (9 e 10° ) andar em Tambaú com 312m2 codigo: 355262,Apartment,sale,3200000,,312.0,5,8,2,,,false,,,,false,false,false,Tambaú,,,
prop-44456179,"Leia o anuncio: Bairro Novo Milênio 3º andar, Compre seu Repasse/Ágio sem burocracia.",Apartment,sale,40000,,55.0,2,1,1,,,false,,,,false,true,false,Valentina de Figueiredo,,,
prop-44283161,"Vendo apartamento novo, em frente à uma praça e a 300mts do mar! Varanda gourmet, 3 quartos s/ 1 suíte, 2 vaga",Apartment,sale,980000,,92.0,3,2,2,,,false,,,,true,true,false,Manaíra,,,
