owner_kind,owner_key,amenity_name
property,prop-10024890,bbq_area
property,prop-10024890,pool
property,prop-10276798,concierge
property,prop-10276798,coworking
property,prop-10276798,playground
property,prop-10276798,sauna
property,prop-10276822,concierge
property,prop-10276822,coworking
property,prop-10276822,playground
property,prop-10276822,sauna
property,prop-10745406,pool
property,prop-10806181,bbq_area
property,prop-10806181,pool
property,prop-10814691,air_conditioning
property,prop-10814691,bbq_area
property,prop-10814691,bike_rack
property,prop-10814691,concierge
property,prop-10814691,coworking
property,prop-10814691,game_room
property,prop-10814691,gourmet_area
property,prop-10814691,gym
property,prop-10814691,intercom
property,prop-10814691,laundry
property,prop-10814691,party_hall
property,prop-10814691,playground
property,prop-10814691,pool
property,prop-10814691,sauna
property,prop-10814691,security_24h
property,prop-10815204,air_conditioning
property,prop-10815204,bbq_area
property,prop-10815204,bike_rack
property,prop-10815204,concierge
property,prop-10815204,coworking
property,prop-10815204,game_room
property,prop-10815204,gourmet_area
property,prop-10815204,gym
property,prop-10815204,intercom
property,prop-10815204,laundry
property,prop-10815204,party_hall
property,prop-10815204,playground
property,prop-10815204,pool
property,prop-10815204,sauna
property,prop-10815204,security_24h
property,prop-10815204,spa
property,prop-10815204,sports_court
property,prop-10815444,air_conditioning
property,prop-10815444,bbq_area
property,prop-10815444,concierge
property,prop-10815444,gourmet_area
property,prop-10815444,intercom
property,prop-10815444,laundry
property,prop-10815444,party_hall
property,prop-10815444,pool
property,prop-10815444,security_24h
property,prop-10815516,air_conditioning
property,prop-10815516,bike_rack
property,prop-10815516,concierge
property,prop-10815516,game_room
property,prop-10815516,gourmet_area
property,prop-10815516,gym
property,prop-10815516,intercom
property,prop-10815516,laundry
property,prop-10815516,party_hall
property,prop-10815516,pool
property,prop-10815592,gourmet_area
property,prop-10815592,gym
property,prop-10815592,party_hall
property,prop-10815592,pool
property,prop-10815597,air_conditioning
property,prop-10815597,bike_rack
property,prop-10815597,concierge
property,prop-10815597,gourmet_area
property,prop-10815597,intercom
property,prop-10815597,laundry
property,prop-10815597,party_hall
property,prop-10815597,pool
property,prop-10815597,security_24h
property,prop-10815599,air_conditioning
property,prop-10815599,bbq_area
property,prop-10815599,bike_rack
property,prop-10815599,concierge
property,prop-10815599,coworking
property,prop-10815599,game_room
property,prop-10815599,gourmet_area
property,prop-10815599,gym
property,prop-10815599,intercom
property,prop-10815599,laundry
property,prop-10815599,party_hall
property,prop-10815599,playground
property,prop-10815599,pool
property,prop-10815599,sauna
property,prop-10815599,security_24h
property,prop-10815599,sports_court
property,prop-10815633,air_conditioning
property,prop-10815633,concierge
property,prop-10815633,gourmet_area
property,prop-10815633,intercom
property,prop-10815633,laundry
property,prop-10815633,pool
property,prop-10815633,security_24h
property,prop-10815708,air_conditioning
property,prop-10815708,bbq_area
property,prop-10815708,bike_rack
property,prop-10815708,concierge
property,prop-10815708,coworking
property,prop-10815708,game_room
property,prop-10815708,gourmet_area
property,prop-10815708,gym
property,prop-10815708,intercom
property,prop-10815708,party_hall
property,prop-10815708,playground
property,prop-10815708,pool
property,prop-10815708,security_24h
property,prop-10815708,sports_court
property,prop-10815729,air_conditioning
property,prop-10815729,bbq_area
property,prop-10815729,bike_rack
property,prop-10815729,concierge
property,prop-10815729,game_room
property,prop-10815729,gourmet_area
property,prop-10815729,gym
property,prop-10815729,intercom
property,prop-10815729,laundry
property,prop-10815729,party_hall
property,prop-10815729,playground
property,prop-10815729,pool
property,prop-10815729,security_24h
property,prop-10872768,air_conditioning
property,prop-10872768,bbq_area
property,prop-10872768,pool
property,prop-10890542,concierge
property,prop-10890542,gym
property,prop-10890542,party_hall
property,prop-10890542,playground
property,prop-10890542,pool
property,prop-10890542,security_24h
property,prop-10890563,air_conditioning
property,prop-10890563,bbq_area
property,prop-10890563,bike_rack
property,prop-10890563,concierge
property,prop-10890563,game_room
property,prop-10890563,generator
property,prop-10890563,gym
property,prop-10890563,laundry
property,prop-10890563,party_hall
property,prop-10890563,playground
property,prop-10890563,pool
property,prop-10890563,sauna
property,prop-10890563,security_24h
property,prop-10890563,spa
property,prop-10890563,sports_court
property,prop-10890563,wine_cellar
property,prop-10890564,air_conditioning
property,prop-10890564,bbq_area
property,prop-10890564,bike_rack
property,prop-10890564,concierge
property,prop-10890564,game_room
property,prop-10890564,generator
property,prop-10890564,gym
property,prop-10890564,laundry
property,prop-10890564,party_hall
property,prop-10890564,playground
property,prop-10890564,pool
property,prop-10890564,sauna
property,prop-10890564,security_24h
property,prop-10890564,spa
property,prop-10890564,sports_court
property,prop-10890564,wine_cellar
property,prop-10890566,air_conditioning
property,prop-10890566,bbq_area
property,prop-10890566,bike_rack
property,prop-10890566,concierge
property,prop-10890566,game_room
property,prop-10890566,generator
property,prop-10890566,gym
property,prop-10890566,party_hall
property,prop-10890566,playground
property,prop-10890566,pool
property,prop-10890566,sauna
property,prop-10890566,security_24h
property,prop-10890566,spa
property,prop-10890566,sports_court
property,prop-10890566,wine_cellar
property,prop-10890584,air_conditioning
property,prop-10890584,bbq_area
property,prop-10890584,pool
property,prop-10890584,sauna
property,prop-10890584,security_24h
property,prop-10890639,air_conditioning
property,prop-10890639,bbq_area
property,prop-10890639,pool
property,prop-10890639,security_24h
property,prop-10890657,bbq_area
property,prop-10890657,pool
property,prop-10890657,security_24h
property,prop-10890771,air_conditioning
property,prop-10890771,bbq_area
property,prop-10890771,concierge
property,prop-10890771,coworking
property,prop-10890771,game_room
property,prop-10890771,generator
property,prop-10890771,gym
property,prop-10890771,party_hall
property,prop-10890771,pool
property,prop-10890771,sauna
property,prop-10890771,security_24h
property,prop-10890771,sports_court
property,prop-10890869,air_conditioning
property,prop-10890869,pool
property,prop-10890910,air_conditioning
property,prop-10890910,laundry
property,prop-10890910,security_24h
property,prop-10890978,pool
property,prop-10906799,bbq_area
property,prop-10906799,bike_rack
property,prop-10906799,game_room
property,prop-10906799,generator
property,prop-10906799,party_hall
property,prop-10906799,playground
property,prop-10906799,pool
property,prop-10906799,security_24h
property,prop-10936460,bbq_area
property,prop-10936460,generator
property,prop-10936460,party_hall
property,prop-10936460,playground
property,prop-10936460,pool
property,prop-10966336,bbq_area
property,prop-10966336,bike_rack
property,prop-10966336,gym
property,prop-10966336,party_hall
property,prop-10966336,playground
property,prop-10966336,pool
property,prop-11053196,bike_rack
property,prop-11053196,generator
property,prop-11053196,party_hall
property,prop-11053196,pool
property,prop-11200455,air_conditioning
property,prop-11200455,bbq_area
property,prop-11200455,laundry
property,prop-11200455,pool
property,prop-11200455,sauna
property,prop-11200455,security_24h
property,prop-11200455,wine_cellar
property,prop-11209911,bbq_area
property,prop-11209911,pool
property,prop-11365156,bbq_area
property,prop-11365156,pool
property,prop-11493234,bbq_area
property,prop-11493234,pool
property,prop-11493236,bbq_area
property,prop-11572097,bbq_area
property,prop-11572097,pool
property,prop-11575865,bbq_area
property,prop-11575865,bike_rack
property,prop-11575865,concierge
property,prop-11575865,coworking
property,prop-11575865,game_room
property,prop-11575865,gourmet_area
property,prop-11575865,gym
