preco_real,preco_previsto,residuo_log,erro_reais,erro_percentual,erro_absoluto_percentual,bairro,origem_anuncio,tipo_unidade,area_util,faixa_preco,faixa_area,campos_ausentes
579999.9999999999,554538.8147112123,-0.04489129972069961,-25461.185288787587,-4.389859532549585,4.389859532549585,jardim_cidade_universitaria,chaves_na_mao,apartamento_tipo,120.0,Q3,A4 (maior),2
649999.9999999998,607228.7744480524,-0.06806674918263411,-42771.22555194737,-6.580188546453444,6.580188546453444,jardim_oceania,chaves_na_mao,apartamento_tipo,88.0,Q3,A3,2
1250000.0000000005,900078.5146901928,-0.32841683223243834,-349921.4853098077,-27.993718824784608,27.993718824784608,aeroclube,ambos,apartamento_tipo,220.0,Q5 (mais caro),A4 (maior),1
120000.00000000006,133940.0039314217,0.10990022505196784,13940.003931421641,11.616669942851363,11.616669942851363,mucumagro,chaves_na_mao,apartamento_tipo,46.0,Q1 (mais barato),A1 (menor),3
130000.00000000006,118950.41963380795,-0.0888276858960424,-11049.580366192109,-8.499677204763156,8.499677204763156,mucumagro,chaves_na_mao,apartamento_tipo,48.0,Q1 (mais barato),A1 (menor),4
1490000.0,964358.4988736121,-0.4350682866633626,-525641.5011263879,-35.27795309573073,35.27795309573073,cabo_branco,ambos,apartamento_tipo,192.0,Q5 (mais caro),A4 (maior),2
760000.0000000007,785581.0948447936,0.03310525886338844,25581.094844792853,3.3659335322095827,3.3659335322095827,jardim_oceania,ambos,apartamento_tipo,65.0,Q4,A2,1
979999.9999999995,923055.9625282753,-0.05986270787486525,-56944.03747172421,-5.81061606854329,5.81061606854329,manaira,ambos,apartamento_tipo,92.0,Q4,A3,0
949999.9999999999,1091163.4982709377,0.13853785093707316,141163.49827093782,14.859315607467142,14.859315607467142,miramar,ambos,apartamento_tipo,135.0,Q4,A4 (maior),1
3499999.9999999986,5153733.876395379,0.3869585080197453,1653733.8763953806,47.249539325582326,47.249539325582326,miramar,chaves_na_mao,apartamento_tipo,426.0,Q5 (mais caro),A4 (maior),3
849999.9999999994,938968.618927408,0.09954570949282981,88968.61892740859,10.466896344401018,10.466896344401018,bessa,ambos,cobertura,77.0,Q4,A3,1
448999.9999999996,596162.358902316,0.2834901564906982,147162.35890231637,32.77558104728652,32.77558104728652,bancarios,ambos,apartamento_tipo,65.0,Q2,A2,1
120000.00000000006,167757.91064823244,0.33503018932438344,47757.910648232384,39.79825887352696,39.79825887352696,gramame,ambos,apartamento_tipo,45.0,Q1 (mais barato),A1 (menor),2
626000.0000000002,687372.5530512955,0.09352606387618323,61372.553051295225,9.803922212666965,9.803922212666965,aeroclube,ambos,apartamento_tipo,62.0,Q3,A2,1
61673.999999999985,68702.51184631001,0.10792331283833434,7028.5118463100225,11.396231550264332,11.396231550264332,ernani_satiro,chaves_na_mao,apartamento_tipo,45.0,Q1 (mais barato),A1 (menor),3
240000.00000000015,232990.69775970854,-0.02964039435134147,-7009.30224029161,-2.9205426001215025,2.9205426001215025,ernesto_geisel,chaves_na_mao,apartamento_tipo,58.0,Q1 (mais barato),A2,2
550000.0000000001,575853.4554650708,0.04593493250436431,25853.45546507067,4.7006282663764845,4.7006282663764845,manaira,ambos,apartamento_tipo,52.0,Q3,A2,0
1199999.9999999998,942178.3648983611,-0.24188223209775295,-257821.63510163862,-21.48513625846989,21.48513625846989,cabo_branco,ambos,apartamento_tipo,91.0,Q5 (mais caro),A3,1
514900.0000000002,670732.7624748127,0.26439808304128753,155832.7624748125,30.264665464131372,30.264665464131372,bessa,ambos,apartamento_tipo,59.0,Q3,A2,1
760000.0000000007,650561.6486148445,-0.15548236869634202,-109438.35138515616,-14.399783076994218,14.399783076994218,manaira,chaves_na_mao,apartamento_tipo,75.0,Q4,A3,2
700000.0000000002,772774.9191271649,0.09890749278264899,72774.91912716464,10.396417018166373,10.396417018166373,manaira,ambos,apartamento_tipo,61.0,Q4,A2,0
703792.0000000003,837441.1920630385,0.173868184844304,133649.19206303812,18.989870879896056,18.989870879896056,jardim_oceania,chaves_na_mao,apartamento_tipo,70.0,Q4,A3,2
648999.9999999995,731382.9093025035,0.1195044216374157,82382.90930250392,12.693822696841908,12.693822696841908,cabo_branco,chaves_na_mao,terreo_com_area,53.0,Q3,A2,4
243000.00000000012,294472.558838315,0.19212437659241033,51472.5588383149,21.1821229787304,21.1821229787304,aeroclube,ambos,apartamento_tipo,29.0,Q1 (mais barato),A1 (menor),2
400000.0000000002,256791.2367886229,-0.4432011005293308,-143208.76321137729,-35.80219080284431,35.80219080284431,aeroclube,ambos,apartamento_tipo,46.0,Q2,A1 (menor),0
389999.99999999994,319971.4143701766,-0.1979150774132883,-70028.58562982333,-17.956047597390597,17.956047597390597,aeroclube,chaves_na_mao,apartamento_tipo,35.0,Q2,A1 (menor),4
655137.9999999999,568380.7270129685,-0.14205441225540305,-86757.27298703138,-13.242595145912983,13.242595145912983,altiplano,ambos,apartamento_tipo,30.0,Q3,A1 (menor),2
595539.9999999995,608131.8929026579,0.020923230572137186,12591.892902658321,2.114365601413563,2.114365601413563,altiplano,ambos,apartamento_tipo,33.0,Q3,A1 (menor),2
635346.9999999997,576007.6069132139,-0.0980504392772783,-59339.3930867858,-9.33968258082368,9.33968258082368,altiplano,chaves_na_mao,apartamento_tipo,34.0,Q3,A1 (menor),3
376315.00000000006,409639.77965874894,0.08485162869979845,33324.779658748885,8.855554431460048,8.855554431460048,altiplano,ambos,apartamento_tipo,35.0,Q2,A1 (menor),1
559695.0000000005,587142.4647772333,0.047875497671867606,27447.464777232846,4.904003926644481,4.904003926644481,altiplano,chaves_na_mao,apartamento_tipo,36.0,Q3,A1 (menor),3
588160.0000000003,587142.4647772333,-0.0017315295551441068,-1017.5352227670373,-0.17300313227132696,0.17300313227132696,altiplano,chaves_na_mao,apartamento_tipo,36.0,Q3,A1 (menor),3
550000.0000000001,455725.34633889573,-0.1880279608343809,-94274.65366110438,-17.14084612020079,17.14084612020079,altiplano,chaves_na_mao,apartamento_tipo,40.0,Q3,A1 (menor),2
461049.00000000035,565525.4551085931,0.20425097997708264,104476.45510859275,22.66059683647349,22.66059683647349,altiplano,ambos,apartamento_tipo,36.0,Q2,A1 (menor),2
298900.0,301876.64020707144,0.009909388500350502,2976.6402070714394,0.9958649070162059,0.9958649070162059,bancarios,chaves_na_mao,apartamento_tipo,32.0,Q1 (mais barato),A1 (menor),2
329000.00000000023,320709.3957962404,-0.025522346721064793,-8290.604203759809,-2.519940487464986,2.519940487464986,bancarios,ambos,apartamento_tipo,33.0,Q2,A1 (menor),1
264997.0000000002,337409.4782007799,0.24157875643125948,72412.4782007797,27.325772820363873,27.325772820363873,bancarios,ambos,apartamento_tipo,46.0,Q1 (mais barato),A1 (menor),1
329000.00000000023,297950.13471274404,-0.0991316114404377,-31049.865287256194,-9.43764902348212,9.43764902348212,bancarios,ambos,apartamento_tipo,46.0,Q2,A1 (menor),1
239000.00000000003,405208.92040256824,0.5279392350145358,166208.9204025682,69.54348133998668,69.54348133998668,bessa,chaves_na_mao,apartamento_tipo,20.0,Q1 (mais barato),A1 (menor),2
480000.0000000003,405496.8414300869,-0.1686730196984172,-74503.15856991342,-15.521491368731951,15.521491368731951,bessa,chaves_na_mao,apartamento_tipo,22.0,Q2,A1 (menor),3
289915.0,404922.92642910534,0.3341089673138704,115007.92642910534,39.66953294210556,39.66953294210556,bessa,ambos,apartamento_tipo,23.0,Q1 (mais barato),A1 (menor),0
269003.9999999999,385951.43764513335,0.36098530296093045,116947.43764513347,43.47423742588717,43.47423742588717,bessa,chaves_na_mao,apartamento_tipo,21.0,Q1 (mais barato),A1 (menor),3
529999.9999999998,432079.92434148694,-0.20426642536456718,-97920.07565851283,-18.475485973304316,18.475485973304316,bessa,chaves_na_mao,apartamento_tipo,25.0,Q3,A1 (menor),2
240000.00000000015,380387.57584929175,0.4605517460421673,140387.5758492916,58.494823270538134,58.494823270538134,bessa,ambos,apartamento_tipo,28.0,Q1 (mais barato),A1 (menor),2
350063.99999999994,415175.2570919561,0.17058474242020338,65111.257091956155,18.5998152029218,18.5998152029218,bessa,ambos,apartamento_tipo,28.0,Q2,A1 (menor),2
589000.0000000002,434438.1425793725,-0.3043726136853788,-154561.85742062773,-26.24140193898602,26.24140193898602,bessa,ambos,apartamento_tipo,29.0,Q3,A1 (menor),1
394999.99999999994,400920.15622514766,0.014876530922103726,5920.156225147715,1.4987737278854978,1.4987737278854978,bessa,chaves_na_mao,apartamento_tipo,32.0,Q2,A1 (menor),3
469999.99999999994,404343.84962093347,-0.15046706581107294,-65656.15037906647,-13.969393697673718,13.969393697673718,bessa,chaves_na_mao,apartamento_tipo,33.0,Q2,A1 (menor),3
599000.0000000003,474837.6908971237,-0.23228855584918584,-124162.30910287664,-20.728265292633814,20.728265292633814,bessa,chaves_na_mao,apartamento_tipo,33.0,Q3,A1 (menor),3
372499.0000000002,418728.0235462402,0.11698724742623767,46229.02354624,12.410509436599824,12.410509436599824,bessa,chaves_na_mao,apartamento_tipo,,Q2,,4
319496.99999999994,411032.71282805316,0.2519249204823186,91535.71282805322,28.64994439010483,28.64994439010483,bessa,ambos,apartamento_tipo,36.0,Q1 (mais barato),A1 (menor),1
474999.99999999994,432647.7617095103,-0.09339089043914406,-42352.23829048965,-8.916260692734665,8.916260692734665,bessa,ambos,apartamento_tipo,37.0,Q2,A1 (menor),2
370000.0000000001,456807.97576710104,0.21076011263670225,86807.97576710093,23.46161507218943,23.46161507218943,bessa,ambos,apartamento_tipo,38.0,Q2,A1 (menor),1
380000.0000000003,487100.52876521205,0.2482992736287617,107100.52876521175,28.184349675055703,28.184349675055703,bessa,ambos,apartamento_tipo,45.0,Q2,A1 (menor),0
995580.9999999995,763549.6978027383,-0.26534827172202746,-232031.30219726125,-23.30611996384637,23.30611996384637,bessa,ambos,apartamento_tipo,45.0,Q4,A1 (menor),1
575000.0,695716.5263856191,0.1905722468962665,120716.52638561907,20.994178501846793,20.994178501846793,bessa,chaves_na_mao,apartamento_tipo,59.0,Q3,A2,2
340000.00000000006,506576.53883914085,0.3987298078686763,166576.5388391408,48.99309965857081,48.99309965857081,bessa,chaves_na_mao,apartamento_tipo,40.0,Q2,A1 (menor),2
1403467.9999999998,566324.1699725647,-0.9075349426809751,-837143.8300274351,-59.64823067055573,59.64823067055573,bessa,chaves_na_mao,apartamento_tipo,46.0,Q5 (mais caro),A1 (menor),4
370000.0000000001,848500.8063763075,0.829968029390665,478500.8063763074,129.32454226386682,129.32454226386682,bessa,chaves_na_mao,apartamento_tipo,,Q2,,4
372499.99999999994,397940.8457455565,0.06606632763846321,25440.84574555658,6.829757247129284,6.829757247129284,bessa,chaves_na_mao,apartamento_tipo,33.0,Q2,A1 (menor),4
466095.0000000003,429077.1817142439,-0.08275266250759117,-37017.818285756395,-7.942118728104007,7.942118728104007,bessa,chaves_na_mao,apartamento_tipo,35.0,Q2,A1 (menor),3
524999.9999999998,414708.10954903025,-0.23582334031218544,-110291.89045096951,-21.007979133518013,21.007979133518013,bessa,chaves_na_mao,apartamento_tipo,29.0,Q3,A1 (menor),4
538996.9999999995,579710.1989749852,0.07281831669986083,40713.19897498563,7.553511239391994,7.553511239391994,bessa,ambos,apartamento_tipo,56.0,Q3,A2,2
559000.0000000003,663723.8570152799,0.1717167118310634,104723.85701527959,18.73414257876199,18.73414257876199,bessa,chaves_na_mao,apartamento_tipo,44.0,Q3,A1 (menor),4
880194.9999999997,399416.8786574738,-0.7901377937111835,-480778.1213425259,-54.62177373678856,54.62177373678856,bessa,chaves_na_mao,apartamento_tipo,36.0,Q4,A1 (menor),4
995000.0000000007,596457.2072715412,-0.5117352378896936,-398542.79272845946,-40.05455203301097,40.05455203301097,bessa,ambos,apartamento_tipo,45.0,Q4,A1 (menor),2
499900.0000000004,489005.26033496996,-0.02203483167128617,-10894.739665030444,-2.1793838097680407,2.1793838097680407,cabo_branco,chaves_na_mao,apartamento_tipo,19.0,Q3,A1 (menor),2
499999.9999999997,465321.13931445254,-0.07188030902297271,-34678.86068554717,-6.9357721371094385,6.9357721371094385,cabo_branco,ambos,apartamento_tipo,19.0,Q3,A1 (menor),0
440226.0000000003,422563.9153883233,-0.0409475170286111,-17662.084611676983,-4.012049404550611,4.012049404550611,cabo_branco,chaves_na_mao,apartamento_tipo,20.0,Q2,A1 (menor),3
619000.0000000005,445842.2980815582,-0.3281399749382192,-173157.70191844227,-27.973780600717628,27.973780600717628,cabo_branco,chaves_na_mao,apartamento_tipo,21.0,Q3,A1 (menor),3
539999.9999999995,468644.7236828991,-0.14172417697417394,-71355.27631710045,-13.213940058722319,13.213940058722319,cabo_branco,ambos,apartamento_tipo,30.0,Q3,A1 (menor),0
500449.00000000006,551916.4730539618,0.0978910224348919,51467.4730539617,10.284259345899722,10.284259345899722,cabo_branco,ambos,apartamento_tipo,31.0,Q3,A1 (menor),3
607134.9999999995,578592.9390248009,-0.04815198268738996,-28542.060975198634,-4.70110617493616,4.70110617493616,cabo_branco,chaves_na_mao,apartamento_tipo,18.0,Q3,A1 (menor),3
704999.9999999994,551986.8544488444,-0.24467357122300726,-153013.14555115497,-21.703992276759585,21.703992276759585,cabo_branco,chaves_na_mao,apartamento_tipo,31.0,Q4,A1 (menor),2
480000.0000000003,453573.4406638008,-0.05662890553113087,-26426.559336199483,-5.505533195041556,5.505533195041556,cabo_branco,chaves_na_mao,apartamento_tipo,,Q2,,4
525043.9999999999,530991.2358388897,0.011263447490611256,5947.235838889843,1.1327118944107244,1.1327118944107244,cabo_branco,chaves_na_mao,apartamento_tipo,32.0,Q3,A1 (menor),2
430000.0000000002,463650.3234068736,0.07534544608210503,33650.323406873445,7.825656606249636,7.825656606249636,cabo_branco,chaves_na_mao,apartamento_tipo,,Q2,,4
469999.99999999994,552455.006580299,0.16163929931795096,82455.00658029906,17.543618421340227,17.543618421340227,cabo_branco,chaves_na_mao,apartamento_tipo,36.0,Q2,A1 (menor),2
469996.99999999994,699715.2647590064,0.3979471759572313,229718.2647590065,48.876538522374936,48.876538522374936,cabo_branco,chaves_na_mao,apartamento_tipo,42.0,Q2,A1 (menor),2
897000.0000000005,700396.3792949093,-0.24740943114231584,-196603.62070509116,-21.917906433120518,21.917906433120518,cabo_branco,chaves_na_mao,apartamento_tipo,42.0,Q4,A1 (menor),3
675000.0,698062.9017038414,0.03359652488375886,23062.901703841402,3.4167261783468748,3.4167261783468748,cabo_branco,ambos,apartamento_tipo,43.0,Q3,A1 (menor),1
750000.0000000005,670122.1497157834,-0.11261319775370993,-79877.85028421704,-10.650380037895598,10.650380037895598,cabo_branco,chaves_na_mao,apartamento_tipo,,Q4,,3
467032.99999999965,615160.5801350508,0.2754834206510637,148127.58013505116,31.71672668420674,31.71672668420674,cabo_branco,chaves_na_mao,apartamento_tipo,44.0,Q2,A1 (menor),3
879999.9999999995,626107.7740466106,-0.3403993881767491,-253892.22595338896,-28.85138931288512,28.85138931288512,cabo_branco,ambos,apartamento_tipo,44.0,Q4,A1 (menor),2
422996.9999999999,674330.6438333027,0.46635547328550153,251333.64383330278,59.41735847613644,59.41735847613644,cabo_branco,ambos,apartamento_tipo,46.0,Q2,A1 (menor),1
480000.0000000003,442900.87314289575,-0.08044012155252034,-37099.12685710454,-7.728984761896774,7.728984761896774,cabo_branco,chaves_na_mao,apartamento_tipo,22.0,Q2,A1 (menor),3
599999.9999999999,631871.1270241934,0.051755805201239014,31871.127024193527,5.311854504032255,5.311854504032255,cabo_branco,ambos,apartamento_tipo,59.0,Q3,A2,1
760000.0000000007,543138.072031328,-0.33595486936839336,-216861.9279686727,-28.534464206404277,28.534464206404277,cabo_branco,ambos,apartamento_tipo,48.0,Q4,A1 (menor),1
2050497.9999999981,1090911.969078723,-0.6310686751693275,-959586.030921275,-46.7977062606877,46.7977062606877,cabo_branco,chaves_na_mao,apartamento_tipo,117.0,Q5 (mais caro),A4 (maior),3
369990.0000000001,407071.97109672445,0.09551402472493287,37081.97109672433,10.022425226823515,10.022425226823515,cabo_branco,chaves_na_mao,apartamento_tipo,34.0,Q2,A1 (menor),4
439999.9999999997,397383.08854951255,-0.10187395293533719,-42616.911450487154,-9.685661693292541,9.685661693292541,cabo_branco,ambos,apartamento_tipo,37.0,Q2,A1 (menor),1
469000.00000000023,518127.9889660989,0.0996195262393762,49127.988966098696,10.475050952259844,10.475050952259844,cabo_branco,ambos,apartamento_tipo,37.0,Q2,A1 (menor),2
595000.0000000001,705347.1407160534,0.170128674257235,110347.14071605331,18.54573793547114,18.54573793547114,cabo_branco,chaves_na_mao,apartamento_tipo,43.0,Q3,A1 (menor),3
680000.0000000001,570425.5240231568,-0.17571018248503023,-109574.47597684327,-16.113893526006358,16.113893526006358,cabo_branco,chaves_na_mao,apartamento_tipo,30.0,Q3,A1 (menor),3
687999.9999999998,698305.9545208144,0.014868499049430994,10305.954520814586,1.4979585059323532,1.4979585059323532,cabo_branco,chaves_na_mao,apartamento_tipo,44.0,Q4,A1 (menor),3
937210.0000000007,724575.5962452054,-0.25732127769690116,-212634.40375479532,-22.688021228411472,22.688021228411472,cabo_branco,chaves_na_mao,apartamento_tipo,55.0,Q4,A2,4
214000.0000000001,197551.03744668374,-0.07997904661315047,-16448.96255331635,-7.686431099680534,7.686431099680534,ernesto_geisel,chaves_na_mao,apartamento_tipo,41.0,Q1 (mais barato),A1 (menor),3
999999.9999999995,290079.56990864145,-1.237600014641334,-709920.430091358,-70.99204300913583,70.99204300913583,estados,chaves_na_mao,apartamento_tipo,,Q4,,4
279135.00000000006,356318.39104468416,0.24412915225901521,77183.3910446841,27.65091838883841,27.65091838883841,jardim_cidade_universitaria,chaves_na_mao,apartamento_tipo,36.0,Q1 (mais barato),A1 (menor),3
329000.00000000023,278256.2220130375,-0.16751539962688788,-50743.777986962756,-15.423640725520585,15.423640725520585,jardim_cidade_universitaria,ambos,apartamento_tipo,46.0,Q2,A1 (menor),1
269900.0000000002,263425.01071917044,-0.024282781846823198,-6474.98928082973,-2.399032708717942,2.399032708717942,jardim_cidade_universitaria,chaves_na_mao,apartamento_tipo,41.0,Q1 (mais barato),A1 (menor),3
2347000.0,775110.6333528538,-1.1078874239725156,-1571889.3666471462,-66.97440846387501,66.97440846387501,jardim_oceania,chaves_na_mao,apartamento_tipo,124.0,Q5 (mais caro),A4 (maior),3
480000.0000000003,386035.07361913985,-0.21785787426672698,-93964.92638086044,-19.576026329345915,19.576026329345915,jardim_oceania,chaves_na_mao,apartamento_tipo,22.0,Q2,A1 (menor),3
