tsne_1,tsne_2,faixa_preco
-6.9099703,-29.574034,Q3
40.63235,-56.87585,Q3
36.724976,-58.165367,Q5 (mais caro)
41.632473,-58.665825,Q3
67.08535,-1.4994705,Q1 (mais barato)
-16.924452,7.0120726,Q3
9.116586,13.031263,Q4
-51.730663,-70.08637,Q1 (mais barato)
40.322376,-60.988613,Q5 (mais caro)
78.26064,0.97375804,Q1 (mais barato)
81.52404,-47.798065,Q1 (mais barato)
11.035361,-4.63693,Q4
65.89974,3.3528352,Q1 (mais barato)
-2.6168644,-35.28826,Q3
18.174788,1.2685511,Q4
-6.534795,29.964046,Q5 (mais caro)
17.94051,3.3756466,Q4
15.922902,-20.188663,Q3
36.544174,3.824629,Q1 (mais barato)
-63.90637,-68.50314,Q1 (mais barato)
15.220234,29.500395,Q1 (mais barato)
-32.112137,-20.864624,Q5 (mais caro)
101.69802,-9.645742,Q4
66.7981,-43.481747,Q5 (mais caro)
-29.74815,-46.969128,Q5 (mais caro)
83.5736,-25.921188,Q4
25.70247,44.11277,Q5 (mais caro)
-33.722847,-28.530926,Q5 (mais caro)
51.64733,68.8779,Q4
61.428207,-3.4187238,Q3
-30.081758,-41.935764,Q5 (mais caro)
29.408487,-23.36377,Q3
34.63403,-42.16225,Q5 (mais caro)
-60.665497,-76.25415,Q1 (mais barato)
58.862877,-15.88709,Q4
65.195045,-53.641663,Q4
83.0357,-26.977116,Q4
81.17165,-7.5103464,Q2
62.403828,-50.579983,Q5 (mais caro)
-56.551704,-86.33455,Q1 (mais barato)
51.536686,-27.518,Q2
17.904264,-36.379105,Q3
86.61727,20.285105,Q1 (mais barato)
-57.0236,-86.68377,Q1 (mais barato)
60.18852,13.611836,Q3
51.7565,-45.994404,Q1 (mais barato)
8.465148,6.163287,Q5 (mais caro)
-0.14649978,20.696356,Q3
19.25949,76.51281,Q4
18.121548,-70.330956,Q2
-32.387627,-50.547974,Q1 (mais barato)
-31.66707,-41.42804,Q3
32.469868,-13.966516,Q3
-10.031859,-41.754833,Q1 (mais barato)
-64.55227,-82.521965,Q1 (mais barato)
-21.267775,-28.801586,Q5 (mais caro)
31.727268,-46.465015,Q1 (mais barato)
37.61278,-58.30695,Q1 (mais barato)
-20.929651,-43.89732,Q1 (mais barato)
46.687542,-57.30422,Q2
88.38821,-5.286718,Q5 (mais caro)
53.700714,-41.47337,Q4
82.03546,-6.6468287,Q1 (mais barato)
7.098708,-7.0173054,Q4
54.49485,-53.138622,Q2
-42.35438,-55.43692,Q2
-1.4019259,15.145671,Q3
-56.776814,-86.458664,Q1 (mais barato)
66.13075,38.706272,Q2
41.4807,-61.002388,Q3
41.173416,-53.926727,Q5 (mais caro)
2.0575218,-73.99514,Q4
4.5714674,14.853929,Q3
8.780461,7.746239,Q5 (mais caro)
45.68084,23.032858,Q5 (mais caro)
22.189232,-18.605606,Q4
61.25331,-52.35159,Q2
25.590479,-75.29995,Q5 (mais caro)
61.351696,-45.060734,Q4
85.586555,-47.9191,Q1 (mais barato)
8.597359,-4.0831947,Q4
48.393112,18.372095,Q4
41.598457,-36.966705,Q2
-13.062595,-33.345055,Q3
6.829036,15.618356,Q5 (mais caro)
-8.1998,-40.965652,Q1 (mais barato)
87.351845,33.458378,Q1 (mais barato)
-3.2147632,-13.6878605,Q2
48.43135,-37.40125,Q2
35.015472,-19.942131,Q5 (mais caro)
55.83156,43.283375,Q4
-1.3134695,-71.22323,Q1 (mais barato)
71.44667,29.980629,Q3
-52.949608,-26.86463,Q5 (mais caro)
63.966,-38.406982,Q1 (mais barato)
82.07293,-27.617481,Q4
63.526615,-41.74096,Q5 (mais caro)
38.80431,6.6580753,Q3
-16.155956,-52.4927,Q1 (mais barato)
26.75159,-59.692158,Q1 (mais barato)
64.20989,-50.267365,Q1 (mais barato)
63.758724,-43.887226,Q1 (mais barato)
64.05564,-49.193707,Q1 (mais barato)
64.14707,-50.322006,Q2
-0.41401464,3.041786,Q1 (mais barato)
60.879448,22.902842,Q2
77.50787,4.830744,Q2
-1.6522678,-66.40633,Q2
-26.461775,-3.0651064,Q2
-41.439934,-56.07774,Q1 (mais barato)
-13.003358,-5.2579103,Q1 (mais barato)
68.82051,60.319088,Q1 (mais barato)
-81.206825,-37.02019,Q2
42.941685,-56.178104,Q1 (mais barato)
37.34337,-23.771074,Q3
37.296707,-23.6963,Q3
37.34356,-23.77068,Q3
37.27481,-23.776077,Q3
37.27481,-23.776077,Q3
37.3439,-23.768744,Q3
37.34406,-23.768755,Q3
37.3439,-23.768744,Q3
37.34418,-23.769318,Q3
37.344204,-23.768185,Q3
64.84174,-45.802036,Q2
81.560776,-26.086525,Q2
95.94489,-32.76599,Q3
96.43973,-33.486633,Q3
96.94939,-33.184444,Q3
96.48383,-32.346725,Q3
96.48383,-32.346725,Q3
96.48383,-32.346725,Q3
96.48383,-32.346725,Q3
96.51348,-32.367367,Q4
102.21651,-9.122448,Q5 (mais caro)
102.23084,-9.115515,Q4
55.260937,-23.203972,Q3
27.492329,-0.9991971,Q2
95.877014,-32.891644,Q2
37.918182,4.916521,Q3
-80.28019,-37.31336,Q3
-40.52169,-54.33455,Q3
11.212327,-41.808197,Q3
11.882917,-39.86408,Q3
11.152766,-41.881805,Q3
82.3908,-7.3064256,Q4
-40.444065,-54.14018,Q4
-60.28882,-75.32127,Q1 (mais barato)
6.511768,50.539185,Q1 (mais barato)
-3.8532963,4.5516887,Q1 (mais barato)
0.01884276,3.8240943,Q1 (mais barato)
-13.598541,-21.025602,Q1 (mais barato)
51.92726,-27.435371,Q1 (mais barato)
-6.123284,6.108184,Q2
12.649317,-5.6785336,Q2
-9.794762,-45.433723,Q1 (mais barato)
63.531605,39.257355,Q1 (mais barato)
-33.600826,-10.341832,Q1 (mais barato)
42.544064,-61.7728,Q1 (mais barato)
40.366978,-59.93669,Q2
-15.817355,-52.166008,Q1 (mais barato)
-81.154526,-37.01378,Q1 (mais barato)
-43.858967,-56.070843,Q1 (mais barato)
-16.04424,-83.026146,Q2
-6.7144833,21.943466,Q1 (mais barato)
4.0573926,-64.11959,Q1 (mais barato)
-3.315421,11.408614,Q2
32.502728,31.490547,Q2
-10.423022,-70.17431,Q1 (mais barato)
-1.6262695,24.142195,Q3
59.69975,-21.802998,Q1 (mais barato)
-15.888704,8.301476,Q1 (mais barato)
0.026816325,3.7848792,Q1 (mais barato)
65.1515,-36.463917,Q2
65.14305,-36.45318,Q2
-15.570364,-52.59457,Q2
12.900229,-5.061381,Q3
-1.943466,5.386251,Q1 (mais barato)
1.2826436,-6.0499024,Q2
47.563538,-11.227604,Q2
75.502625,-13.259863,Q3
43.893917,-41.375164,Q1 (mais barato)
13.151428,-9.169448,Q2
-10.61262,-45.144974,Q3
12.894765,-5.053473,Q3
0.51491714,1.1919849,Q1 (mais barato)
-15.560984,-52.578,Q2
-10.608937,-45.143112,Q4
-7.916421,-30.68429,Q1 (mais barato)
59.51964,14.628661,Q1 (mais barato)
-2.6681437,11.788259,Q2
-9.495548,-23.028345,Q2
43.894123,-41.37402,Q2
-10.357462,-72.224846,Q2
1.0919993,-25.296738,Q2
-3.4154048,11.303766,Q3
0.19658862,-32.609085,Q3
71.83651,-3.0447798,Q2
66.25148,-5.64184,Q2
42.973564,-33.781086,Q3
37.404247,4.592067,Q3
74.217926,27.440207,Q2
79.10363,22.636156,Q2
30.539406,-12.622554,Q2
-9.337877,-19.463186,Q2
-27.864288,45.479183,Q3
85.47218,-3.53033,Q4
61.00453,22.85268,Q2
73.81538,28.997217,Q2
2.7497551,-61.340782,Q2
5.827836,-58.25092,Q2
-15.544001,-52.556686,Q2
74.438705,28.732328,Q2
32.52491,31.516651,Q3
-0.38001713,3.020851,Q2
13.752103,-23.002285,Q2
60.915157,23.043533,Q2
74.21817,27.440487,Q2
37.272724,3.3108149,Q3
37.397915,0.06381505,Q2
5.860361,-58.158634,Q2
-0.37985343,3.0212722,Q2
0.5700281,1.6865739,Q2
5.860361,-58.158634,Q2
-9.512326,-23.034357,Q2
32.111694,-43.132156,Q1 (mais barato)
-34.37924,-5.2408767,Q2
-11.307819,-72.7968,Q1 (mais barato)
-4.8887043,-20.951675,Q2
0.6890726,-63.786793,Q2
60.963356,23.124022,Q2
-12.869809,-10.600002,Q2
-3.5700777,10.946111,Q2
1.1836115,-63.712234,Q2
37.69475,-0.16710249,Q2
-15.521072,-52.53628,Q2
32.14615,-54.054623,Q2
-3.3101108,11.426043,Q2
1.0527967,-63.03286,Q2
17.470005,-12.192851,Q3
17.47169,-12.19266,Q3
59.763588,15.122772,Q2
12.865608,-4.9630933,Q4
4.215978,14.91303,Q4
34.505642,34.79906,Q5 (mais caro)
17.313766,-21.389185,Q5 (mais caro)
45.58323,-61.307026,Q1 (mais barato)
16.632717,3.621225,Q5 (mais caro)
30.14544,-14.480036,Q3
0.2769662,4.0641456,Q3
-15.435326,-52.48706,Q2
-1.7188804,-66.35517,Q4
-3.3098133,11.436122,Q5 (mais caro)
102.81728,-10.209086,Q5 (mais caro)
33.28272,-1.5446362,Q3
79.31376,-9.993976,Q2
26.704458,-59.642986,Q2
-5.2202225,-24.667917,Q4
84.236046,34.58214,Q2
-80.88041,-37.274326,Q5 (mais caro)
50.617622,-2.2670221,Q1 (mais barato)
3.681636,-43.998653,Q1 (mais barato)
15.426374,-35.924656,Q1 (mais barato)
77.502716,4.1996903,Q1 (mais barato)
-40.65413,-56.118317,Q2
74.951096,28.727259,Q2
108.952934,6.265608,Q2
-13.00347,-5.2473474,Q2
7.0615325,-31.408833,Q2
33.796917,-0.47936982,Q2
-37.149967,82.3557,Q2
74.06216,5.239656,Q2
33.79648,-0.47930655,Q2
0.46743816,-6.202077,Q2
4.2988777,-9.9709835,Q2
-40.341915,-55.93591,Q2
-40.653187,-56.118183,Q2
106.97837,6.2828813,Q3
8.143093,-24.735481,Q3
17.8312,-33.981182,Q3
110.0491,6.9279933,Q3
40.744774,21.090117,Q3
68.782616,60.290005,Q3
68.782616,60.290005,Q3
-80.893074,-37.272377,Q4
31.341526,8.59332,Q4
45.278904,-54.714405,Q1 (mais barato)
-9.828738,-45.651833,Q2
25.693401,-19.219759,Q2
-15.9751215,17.766867,Q2
25.526352,-25.22368,Q3
0.62635225,1.340745,Q2
-36.43258,79.42566,Q2
-7.116066,20.589334,Q2
8.101414,62.129597,Q2
71.956436,62.009182,Q2
-33.44873,-22.428514,Q5 (mais caro)
-1.3746998,4.536375,Q2
79.95018,-8.498157,Q3
-7.422809,21.105688,Q3
0.5644625,1.1637278,Q3
21.07823,-30.353224,Q3
28.104567,74.61582,Q2
32.92207,-54.861286,Q2
46.26062,22.684149,Q1 (mais barato)
38.978924,-45.57821,Q3
30.26603,-8.5679,Q3
36.055534,-23.652956,Q3
103.1453,-11.811939,Q2
61.150936,21.34636,Q2
2.9677947,-3.971578,Q3
4.7674847,-26.827047,Q3
-16.190813,-52.64839,Q2
-16.190813,-52.64839,Q3
10.099876,-26.046476,Q3
103.16403,-11.829641,Q3
2.465819,1.5797753,Q3
13.45538,-21.078545,Q2
12.104494,-5.7060966,Q2
44.34134,50.275833,Q3
15.17987,-22.219793,Q3
12.022405,-18.773466,Q3
19.059822,15.118577,Q5 (mais caro)
69.12859,-2.7019992,Q2
36.277225,7.491628,Q3
30.775356,4.318348,Q3
-9.171927,-51.50471,Q3
-7.1311426,20.785305,Q3
30.272121,-8.563895,Q3
40.726536,-32.70518,Q3
40.76306,21.094482,Q4
100.94965,-13.684068,Q2
-11.43303,-74.34411,Q2
59.320827,13.335866,Q3
12.0910425,-5.700734,Q3
80.57583,-28.65638,Q3
41.71628,-62.97659,Q3
39.232975,-45.89694,Q3
23.36227,3.5831745,Q3
108.550415,8.27991,Q4
47.70994,-33.005184,Q4
73.78352,60.98698,Q3
61.19936,-45.746635,Q3
66.42348,-44.765617,Q3
-11.969916,-73.09373,Q3
10.602125,-55.454586,Q2
-9.644103,-44.8183,Q2
34.898182,9.807118,Q3
-7.57692,19.725557,Q3
83.40282,32.98722,Q2
60.84578,-46.394203,Q2
-9.210593,-51.46568,Q3
66.41565,-44.164127,Q5 (mais caro)
16.180046,-28.018274,Q2
14.670308,-8.603491,Q3
-8.730831,26.367159,Q3
-9.1948,-51.436825,Q4
59.593124,40.175617,Q2
43.009224,-59.632088,Q4
41.707176,-46.6276,Q3
26.18232,-59.961006,Q3
40.316605,33.88812,Q4
41.707176,-46.6276,Q4
81.72789,-28.13613,Q4
82.056206,-27.6297,Q2
66.614296,-44.984657,Q2
-9.195167,-51.43665,Q4
6.2425632,-30.307436,Q4
-17.55553,30.334068,Q3
63.23962,39.086185,Q4
-32.912315,-10.842223,Q2
-1.1728402,6.4050283,Q4
45.416264,-41.38709,Q2
59.604424,-15.853256,Q3
47.76147,-60.716602,Q3
52.031536,-6.7847185,Q3
35.0754,-13.490528,Q5 (mais caro)
29.50482,6.456876,Q4
36.494896,-56.18228,Q3
79.17155,-5.3715777,Q3
57.90995,43.356365,Q4
34.867012,-12.826419,Q5 (mais caro)
100.95042,-13.67756,Q4
79.16447,27.194479,Q4
-9.376794,-44.577847,Q5 (mais caro)
-43.06235,-52.19655,Q5 (mais caro)
74.338,19.37279,Q5 (mais caro)
-41.145107,-53.058933,Q5 (mais caro)
-27.095488,34.885777,Q5 (mais caro)
-0.7174445,-28.586702,Q2
62.287846,4.197392,Q2
5.346823,50.518375,Q2
-7.4280925,-4.5901804,Q2
-41.39998,-55.332268,Q2
87.53797,36.620457,Q2
30.63378,8.460357,Q2
62.764973,-40.98573,Q2
76.95477,-5.88097,Q2
6.45504,-36.584774,Q3
-81.273865,-36.14559,Q3
-43.11628,-52.187912,Q3
8.18885,-36.763252,Q3
-41.41622,-55.262672,Q3
-15.133921,-4.8986163,Q3
79.93362,-8.505018,Q3
-2.7604048,-50.06671,Q3
6.721052,-36.902847,Q3
53.376965,-7.468703,Q3
5.155305,-45.288807,Q3
-0.99872035,-80.423485,Q3
66.85102,-45.150433,Q3
4.1741114,-46.405575,Q3
-41.371082,-53.890488,Q3
8.189993,-36.76236,Q4
7.2459264,-33.70619,Q4
-43.11845,-52.18115,Q4
8.189602,-36.762695,Q4
7.2497215,-44.87608,Q4
-58.118805,-47.032963,Q4
4.2152987,-46.385212,Q4
-81.29299,-36.161755,Q4
-41.270664,-53.313313,Q4
61.017605,-43.99952,Q2
-58.81434,-80.1692,Q1 (mais barato)
-16.178757,-83.831825,Q1 (mais barato)
-41.604084,-56.05385,Q1 (mais barato)
65.8859,-66.21595,Q1 (mais barato)
61.97849,36.958984,Q1 (mais barato)
81.812584,-47.769157,Q1 (mais barato)
65.68791,-66.281555,Q1 (mais barato)
65.57488,2.1382575,Q1 (mais barato)
24.269953,68.401375,Q2
1.1019616,-26.075237,Q2
-11.680873,-62.942276,Q5 (mais caro)
20.122696,-35.13918,Q1 (mais barato)
66.78076,-65.12844,Q1 (mais barato)
-15.97443,-83.85407,Q1 (mais barato)
-41.645004,-56.953533,Q2
63.931404,-49.942043,Q1 (mais barato)
80.75921,-46.1346,Q1 (mais barato)
67.39594,-61.35916,Q1 (mais barato)
59.852295,-54.73534,Q2
46.845215,-41.046856,Q1 (mais barato)
13.72766,-23.474567,Q1 (mais barato)
28.729729,-3.1575391,Q2
-4.650077,-20.781933,Q2
36.44137,4.1001596,Q3
-14.682462,-51.744835,Q5 (mais caro)
-6.628782,-22.034185,Q1 (mais barato)
81.428406,-29.33454,Q1 (mais barato)
